Timestamp,Where did you reserve your Steam Deck?,Which model did you reserve?,What is your estimate?,What is your timestamp?,How experienced are you with Linux?,Would you like to Dual Boot Windows on your Steam Deck?
19/01/2022 23:21:40,EU,64 GB,After Q2 (No change),August 14,I am still using Linux frequently.,No
19/01/2022 23:22:13,EU,256 GB,Q1 (Still Q1),1626457329,I tried it once or twice before.,Yes
19/01/2022 23:22:36,EU,512 GB,Q2 (Used to be Q1),1626505607,I have no Linux experience,No
19/01/2022 23:23:54,UK,256 GB,After Q2 (No change),1630005956,I tried it once or twice before.,No
19/01/2022 23:25:01,US,256 GB,After Q2 (No change),1640396683,I used Linux frequently in the past.,Yes
19/01/2022 23:25:30,UK,512 GB,Q1 (Used to be December),1626455001,I tried it once or twice before.,No
19/01/2022 23:26:33,EU,256 GB,Q2 (Used to be Q1),1626461113,I am still using Linux frequently.,No
19/01/2022 23:26:39,EU,256 GB,Q1 (Used to be December),1626455558,I am still using Linux frequently.,No
19/01/2022 23:27:25,US,256 GB,Q2 (Used to be Q1),1626457839,I have no Linux experience,No
19/01/2022 23:28:08,US,64 GB,Q2 (Used to be Q1),1626467106,I am still using Linux frequently.,No
19/01/2022 23:28:31,US,512 GB,Q1 (Used to be December),1626454836,I tried it once or twice before.,No
19/01/2022 23:28:45,UK,512 GB,Q2 (Used to be Q1),1626455580,I used Linux frequently in the past.,No
19/01/2022 23:28:49,UK,256 GB,Q2 (Used to be Q1),1626458576,I am still using Linux frequently.,No
19/01/2022 23:30:24,EU,512 GB,Q2 (Used to be Q1),1626470198,I am still using Linux frequently.,No
19/01/2022 23:32:03,US,512 GB,Q1 (Used to be December),1626454813,I tried it once or twice before.,No
19/01/2022 23:32:58,US,512 GB,After Q2 (No change),1633878584,I am still using Linux frequently.,No
19/01/2022 23:34:10,US,512 GB,Q2 (Used to be Q1),1626455678,I used Linux frequently in the past.,No
19/01/2022 23:35:04,US,512 GB,After Q2 (Used to be Q2),1626462595,"I run Linux on Servers, but not on my PC.",No
19/01/2022 23:36:24,UK,64 GB,Q2 (Used to be Q1),"July 17, 2021",I used Linux frequently in the past.,No
19/01/2022 23:36:35,US,512 GB,Q1 (Still Q1),1626455234,I am still using Linux frequently.,No
19/01/2022 23:37:34,US,512 GB,Q1 (Still Q1),1626455222,I used Linux frequently in the past.,No
19/01/2022 23:38:47,EU,512 GB,Q2 (Used to be Q1),1626466198,I am still using Linux frequently.,Yes
19/01/2022 23:38:50,US,512 GB,Q1 (Used to be December),1626454825,I have no Linux experience,Yes
19/01/2022 23:40:51,EU,512 GB,Q2 (Used to be Q1),"Is this useful? Everyone's in different time zones, so it'll be impossible to analyse this data",I tried it once or twice before.,No
19/01/2022 23:42:28,US,64 GB,Q1 (Used to be December),1626455768,I tried it once or twice before.,Yes
